anio,tasa_migracion_por_1000_hab
1950,3.55
1951,3.14
1952,2.72
1953,2.31
1954,1.94
1955,1.62
1956,1.38
1957,1.21
1958,1.12
1959,1.05
1960,1.00
1961,1.27
1962,1.49
1963,1.53
1964,1.59
1965,1.63
1966,1.68
1967,1.74
1968,1.81
1969,1.82
1970,1.61
1971,1.46
1972,1.46
1973,1.54
1974,1.30
1975,-0.20
1976,-0.39
1977,-0.55
1978,-0.54
1979,-0.37
1980,0.07
1981,0.58
1982,1.02
1983,1.58
1984,1.60
1985,1.55
1986,1.25
1987,1.31
1988,1.18
1989,0.82
1990,0.48
1991,-0.26
1992,-0.39
1993,-0.48
1994,-0.54
1995,-0.56
1996,-0.58
1997,-0.57
1998,-0.56
1999,-0.55
2000,-0.61
2001,-0.63
2002,-0.60
2003,-0.58
2004,-0.58
2005,-0.56
2006,-0.51
2007,-0.45
2008,-0.31
2009,-0.19
2010,-0.12
2011,-0.03
2012,0.07
2013,0.12
2014,0.14
2015,0.13
2016,0.12
2017,0.11
2018,0.13
2019,0.12
2020,0.01
2021,0.01
2022,0.12